"Platform","Year_of_Release","Critic_Score","Critic_Count","User_Score","User_Count","ConsoleCompany","TargetAudience","Category","Sales"
"Wii","2008",82,73,8.3,712,"Nintendo","Children","Sports",0.252538136138053
"Wii","2009",80,73,8,193,"Nintendo","Children","Sports",0.253103731776277
"DS","2006",89,65,8.5,433,"Nintendo","Children","Action",0.297745667087707
"Wii","2006",58,41,6.6,129,"Nintendo","Children","Misc",0.267643863786095
"Wii","2009",87,80,8.4,595,"Nintendo","Children","Action",0.262794165613818
"DS","2005",91,64,8.6,465,"Nintendo","Children","Sports",0.32091527190284
"Wii","2007",80,63,7.7,146,"Nintendo","Children","Sports",0.334824765091213
"X360","2010",61,45,6.3,106,"Xbox","Children","Misc",0.258026929095554
"Wii","2009",80,33,7.4,52,"Nintendo","Children","Sports",0.333148302326385
"PS3","2013",97,50,8.2,4009,"Sony","Teen & Up","Action",0.377425678048199
"PS2","2004",95,80,9,1606,"Sony","Teen & Up","Action",0.325644804512918
"DS","2005",77,58,7.9,50,"Nintendo","Children","Misc",0.459315212174625
"X360","2013",97,58,8.1,3722,"Xbox","Teen & Up","Action",0.321744726043893
"PS2","2002",95,62,8.7,736,"Sony","Teen & Up","Action",0.344827586206897
"DS","2005",77,37,7.1,19,"Nintendo","Children","Big-Brain",0.539949247156039
"PS2","2001",95,54,8.4,314,"Sony","Children","Sports",0.382080359950435
"X360","2011",88,81,3.4,8715,"Xbox","Teen & Up","Action",0.332227747092548
"X360","2010",87,89,6.3,1456,"Xbox","Teen & Up","Action",0.320585281818751
"PS3","2012",83,21,5.3,921,"Sony","Teen & Up","Action",0.447661481035845
"X360","2012",83,73,4.8,2261,"Xbox","Teen & Up","Action",0.348155311911396
"X360","2009",94,100,6.3,2702,"Xbox","Teen & Up","Action",0.342594354913766
"PS4","2014",97,66,8.3,2955,"Sony","Teen & Up","Action",0.492664639082147
"PS3","2011",88,39,3.2,5237,"Sony","Teen & Up","Action",0.424859288662087
"PS2","2001",97,56,8.5,667,"Sony","Teen & Up","Action",0.378234737236117
"3DS","2011",85,73,8.2,633,"Nintendo","Children","Sports",0.438529009653515
"Wii","2008",93,81,8.9,1667,"Nintendo","Teen & Up","Action",0.388075262853166
"PS3","2010",88,58,6.4,1095,"Sony","Teen & Up","Action",0.408248290463863
"DS","2005",86,57,8.6,243,"Nintendo","Children","Big-Brain",0.632455532033676
"X360","2007",94,86,7.8,4109,"Xbox","Teen & Up","Action",0.354218173487907
"PS2","2004",89,74,8.5,273,"Sony","Children","Sports",0.576390417704235
"Wii","2007",97,73,8.9,2159,"Nintendo","Children","Action",0.406222231851194
"X360","2008",98,86,7.9,2958,"Xbox","Teen & Up","Action",0.384331221012044
"PS","1997",96,16,8.8,140,"Sony","Children","Sports",0.498754668053816
"3DS","2011",90,82,8.4,925,"Nintendo","Children","Action",0.452215631646135
"PS3","2010",84,82,7.5,1115,"Sony","Children","Sports",0.581238193719096
"PS3","2009",94,67,6.3,2077,"Sony","Teen & Up","Action",0.447661481035845
"PS3","2008",98,64,7.5,2849,"Sony","Teen & Up","Action",0.45786854649563
"X360","2013",73,29,2.6,2118,"Xbox","Teen & Up","Action",0.384900179459751
"Wii","2011",74,15,7.8,16,"Nintendo","Children","Misc",0.409960030845394
"3DS","2012",78,70,7.2,425,"Nintendo","Children","Action",0.522708373489317
"X360","2010",91,99,7.9,2053,"Xbox","Teen & Up","Action",0.376354964747491
"X360","2012",87,87,7,3273,"Xbox","Teen & Up","Action",0.386911616267068
"PS","1997",92,20,9.2,1297,"Sony","Teen & Up","Big-Brain",0.576390417704235
"PS","1999",93,23,9,135,"Sony","Teen & Up","Sports",0.50767308256681
"Wii","2010",74,24,7.3,24,"Nintendo","Children","Misc",0.4152273992687
"PS3","2013",71,10,2.6,1049,"Sony","Teen & Up","Action",0.493864798324795
"X360","2007",94,70,8.4,1322,"Xbox","Teen & Up","Action",0.409960030845394
"3DS","2012",88,70,8.7,628,"Nintendo","Children","Big-Brain",0.693375245281536
"PS4","2016",85,41,4.9,442,"Sony","Children","Sports",1.05409255338946
"DS","2007",72,27,7.8,85,"Nintendo","Children","Misc",0.476731294622796
"X360","2011",96,89,8.4,3602,"Xbox","Teen & Up","Big-Brain",0.443678254708057
"PS4","2015",82,42,4.3,902,"Sony","Children","Sports",0.940720868383597
"X","2004",95,91,8.2,1224,"Xbox","Teen & Up","Action",0.382919790533742
"Wii","2010",68,42,7.5,55,"Nintendo","Children","Misc",0.755928946018454
"Wii","2007",62,41,6.3,191,"Nintendo","Children","Misc",0.517087689995019
"PS3","2012",88,37,6.5,350,"Sony","Children","Action",0.966736489045664
"PS2","2001",92,53,8.7,1077,"Sony","Teen & Up","Big-Brain",0.586210381760549
"PC","2009",86,75,7.6,894,"PC","Teen & Up","Big-Brain",1.00503781525921
